title,barkbands_flatness_db,dissonance,dynamic_complexity,hfc,spectral_centroid,bpm,danceability,key_scale
03.DiewithIntegrity,"(0.119, 0.003)","(0.485, 0.0)",2.83081221581,"(24.308, 352.692)","(2074.639, 613137.062)",162.047,1.093,major
04-Demon'sNight(Accept'scover),"(0.155, 0.009)","(0.465, 0.004)",2.35226249695,"(26.471, 381.329)","(1527.688, 709040.875)",85.654,1.187,major
04-SheddingMyHumanSkin,"(0.096, 0.001)","(0.49, 0.0)",1.18997085094,"(31.254, 118.534)","(2161.534, 319784.875)",134.357,1.243,major
04.Re-Faced,"(0.074, 0.001)","(0.488, 0.0)",1.00414776802,"(39.854, 346.564)","(2085.213, 222247.516)",104.974,1.128,minor
04.RealityBath,"(0.198, 0.035)","(0.449, 0.007)",3.50944137573,"(22.472, 355.539)","(1470.84, 834428.188)",99.555,0.975,minor
04.RevelingintheAbyss,"(0.114, 0.003)","(0.485, 0.0)",1.52926623821,"(28.48, 285.739)","(1726.702, 686869.812)",82.22,1.497,minor
05-BethanyHome(APlacetoDie)(TheAccusedcover),"(0.136, 0.008)","(0.492, 0.0)",2.03409457207,"(32.118, 473.013)","(2208.974, 583347.875)",107.22,1.11,major
05-Remaimed,"(0.125, 0.002)","(0.491, 0.0)",1.84022474289,"(26.172, 168.928)","(2157.879, 301290.469)",109.563,0.989,minor
05.NewColossalHate,"(0.096, 0.001)","(0.487, 0.0)",1.29676866531,"(30.578, 302.795)","(1876.099, 443758.5)",133.339,1.171,minor
05.SeethingwithDisdain,"(0.118, 0.002)","(0.486, 0.0)",1.70839893818,"(24.705, 184.07)","(1864.045, 440734.719)",165.421,1.222,minor
05.ThreatLevelNo.3,"(0.072, 0.001)","(0.488, 0.0)",0.911260843277,"(39.047, 249.299)","(2017.215, 218741.281)",122.508,1.419,minor
06-EndlessPain(Kreatorcover),"(0.098, 0.001)","(0.494, 0.0)",1.43117523193,"(37.038, 404.378)","(2618.667, 133137.844)",111.465,1.018,minor
06-FirestormVengeance,"(0.106, 0.002)","(0.49, 0.0)",1.66696453094,"(31.058, 207.333)","(2112.005, 371075.531)",161.9,1.201,minor
06.IdeologicalSubjugation,"(0.101, 0.001)","(0.488, 0.0)",1.45657646656,"(28.139, 145.584)","(2031.48, 379786.688)",129.569,1.313,minor
06.ResurrectionMan,"(0.132, 0.007)","(0.477, 0.001)",5.6769194603,"(25.025, 563.804)","(1613.846, 539534.188)",130.158,0.959,minor
06.TheFog,"(0.074, 0.001)","(0.489, 0.0)",1.24410879612,"(38.059, 337.635)","(2227.199, 217405.203)",148.057,1.189,minor
07-BehindBars[RazorCover],"(0.094, 0.001)","(0.492, 0.0)",1.73393416405,"(23.17, 182.239)","(2569.888, 1216226.125)",108.48,1.089,major
07-HeadsShoveledOff,"(0.09, 0.001)","(0.49, 0.0)",1.25173556805,"(33.057, 119.92)","(2147.603, 279679.688)",95.824,1.164,minor
07.PoisonDream(Feat.JameyJasta),"(0.11, 0.002)","(0.486, 0.0)",2.13892436028,"(27.428, 418.361)","(1750.565, 277037.469)",110.692,1.06,minor
07.Stygiophobic,"(0.169, 0.015)","(0.469, 0.001)",7.67803239822,"(21.45, 477.251)","(1528.204, 677127.062)",109.719,1.084,major
07.WeakentheStructure,"(0.11, 0.003)","(0.483, 0.0)",1.65738844872,"(25.512, 176.595)","(1715.996, 477270.562)",110.914,1.269,minor
08-CorpusDelicti,"(0.093, 0.001)","(0.491, 0.0)",1.65156745911,"(32.793, 167.615)","(2252.402, 331588.156)",90.818,1.016,major
08.Asylum,"(0.076, 0.001)","(0.488, 0.0)",1.42403948307,"(42.478, 355.978)","(2031.16, 238872.875)",124.822,1.459,minor
08.Fallacy,"(0.101, 0.001)","(0.486, 0.0)",1.67454838753,"(32.861, 287.774)","(2067.049, 348232.125)",119.9,1.124,minor
08.Routes(Feat.ChuckBilly),"(0.09, 0.001)","(0.487, 0.0)",1.71107792854,"(30.68, 290.885)","(1852.33, 390283)",178.206,1.48,minor
09-ScavengerConsumingDeath,"(0.12, 0.005)","(0.49, 0.0)",1.45580852032,"(29.0, 227.147)","(1995.936, 449977.469)",172.266,1.353,minor
09.BloodshotEyes,"(0.104, 0.001)","(0.482, 0.0)",1.52168011665,"(28.707, 401.784)","(1649.664, 327885.531)",115.997,1.194,minor
09.TheAdvent,"(0.077, 0.001)","(0.488, 0.0)",1.08538448811,"(37.669, 360.957)","(2006.939, 252465.875)",102.02,1.344,minor
09.UnmitigatedDetestation,"(0.103, 0.002)","(0.487, 0.0)",1.34681987762,"(31.944, 219.32)","(1917.541, 469305.844)",178.206,1.469,minor
10-InTheMidstOfRuin,"(0.094, 0.001)","(0.49, 0.0)",1.2862650156,"(31.462, 122.271)","(2135.723, 276576.656)",138.45,1.173,minor
10.OnTheHook,"(0.093, 0.001)","(0.488, 0.0)",1.92959880829,"(30.793, 381.551)","(1951.216, 297300.75)",146.981,0.939,minor
10.ThatCannotDieWhichEternallyIsDead,"(0.108, 0.003)","(0.477, 0.001)",5.17436408997,"(28.071, 476.024)","(1844.971, 394149)",92.654,1.021,minor
10.WrongOnetoFuckWith,"(0.098, 0.002)","(0.487, 0.0)",1.77808892727,"(28.154, 213.585)","(1955.479, 550455.062)",112.93,1.154,minor
11-DestroyedWithoutATrace,"(0.093, 0.001)","(0.488, 0.0)",1.23495805264,"(31.463, 118.56)","(1997.698, 279799.656)",110.053,1.421,minor
11.InduceTerror(BonusTrack),"(0.168, 0.019)","(0.466, 0.003)",6.22270774841,"(24.385, 414.558)","(1647.032, 824434.75)",114.777,1.007,minor
12-HideousIchor,"(0.098, 0.001)","(0.49, 0.0)",1.32718551159,"(31.302, 134.122)","(2056.734, 309783.938)",145.797,1.333,minor
BlameLeadstoShame,"(0.39, 0.003)","(0.362, 0.004)",1.90740907192,"(13.758, 66.577)","(428.232, 218829.5)",129.597,0.975,major
Dying_Fetus-Second_Skin_Official_Music_Video,"(0.164, 0.01)","(0.472, 0.002)",5.12508440018,"(23.005, 276.035)","(1589.779, 786382.75)",147.617,1.023,minor
Lamb_of_God-Omerta,"(0.129, 0.004)","(0.467, 0.002)",4.14409780502,"(29.375, 764.54)","(1456.18, 1478589.875)",118.5,1.263,minor
Prototype-The_Way_It_Ends,"(0.14, 0.001)","(0.484, 0.0)",1.43017852306,"(28.777, 248.696)","(1973.747, 288529.156)",92.435,1.21,minor
The_Black_Dahlia_Murder_Into_the_Everblack,"(0.1, 0.001)","(0.49, 0.0)",1.31585919857,"(35.305, 214.804)","(2215.051, 240885.297)",107.981,1.389,major
